"sale_per_item","total_sold","order_count","max_sale_per_order","min_sale_per_order","average_sale_per_order","id"
"2545.12","19","4","1606.23","17.04","636","CA-2016-168354"
"2541.98","2","1","2541.98","2541.98","2542","CA-2015-162782"
"2531.88","22","5","860.93","14.98","506","CA-2015-105627"
"2521.48","10","2","2504.74","16.74","1261","CA-2017-168858"
"2503.82","21","5","1259.93","41.96","501","CA-2015-109575"
"2503.47","14","3","2430.08","7.89","834","CA-2016-104157"
"2479.96","4","1","2479.96","2479.96","2480","CA-2017-160885"
"2457.141","21","8","1931.958","3.036","307","US-2017-118087"
"2445.602","8","2","1747.25","698.352","1223","CA-2016-105081"
"2437.672","23","7","2314.116","9.656","348","US-2017-162558"
"2399.96","5","1","2399.96","2399.96","2400","US-2017-135013"
"2396.4","10","1","2396.4","2396.4","2396","CA-2016-107202"
"2382.926","28","7","1614.582","1.584","340","CA-2017-128363"
"2377.56","10","2","1927.59","449.97","1189","CA-2016-147256"
"2374.73","46","10","1336.44","14.4","237","CA-2016-105732"
"2361.52","23","4","1628.82","67.8","590","CA-2017-138975"
"2358.672","27","6","1801.632","4.224","393","CA-2014-122931"
"2354.98","11","2","2348.82","6.16","1177","CA-2014-126683"
"2340.06","11","2","1496.16","843.9","1170","CA-2017-121027"
"2339.84","5","2","2321.9","17.94","1170","CA-2015-169796"
"2331.840","14","5","854.352","1.872","466","CA-2016-114727"
"2304.37","16","4","1325.85","26.2","576","CA-2014-126403"
"2298.90","19","4","1196.86","9.14","575","CA-2015-137974"
"2294.90","7","2","2279.96","14.94","1147","US-2016-113677"
"2283.43","15","4","1586.69","84.99","571","CA-2017-120376"
"2258.28","15","4","2154.9","17.9","565","CA-2017-150091"
"2255.868","40","12","1282.41","4.92","188","CA-2017-157987"
"2233.02","25","5","999.96","179.82","447","CA-2015-135685"
"2229.18","13","5","914.97","14.94","446","CA-2017-149048"
"2220.06","21","5","1399.93","13.52","444","CA-2015-113145"
"2216.80","14","3","1394.95","275.97","739","CA-2014-110408"
"2201.864","15","3","1799.75","17.94","734","CA-2015-130659"
"2200.328","16","4","1879.96","2.304","550","US-2015-128090"
"2165.658","10","2","1781.682","383.976","1083","CA-2017-142090"
"2165.12","12","5","795.51","29.22","433","CA-2015-121783"
"2158.694","10","3","2033.584","22.98","720","CA-2014-128524"
"2147.336","10","2","1919.976","227.36","1074","CA-2015-121797"
"2145.25","12","2","2104.55","40.7","1073","CA-2016-143805"
"2126.034","27","6","1089.75","13.184","354","CA-2014-126361"
"2116.506","20","7","1604.9","10.16","302","CA-2014-145387"
"2113.567","11","4","2003.168","9.344","528","CA-2017-121790"
"2110.720","23","5","892.224","23.12","422","CA-2017-117212"
"2089.412","12","3","2054.272","12.96","696","CA-2017-149559"
"2079.112","17","2","1718.4","360.712","1040","CA-2015-135622"
"2075.51","41","11","484.83","9.45","189","US-2016-108504"
"2073.35","13","3","971.5","199.9","691","CA-2016-131737"
"2067.796","10","3","1439.968","1.728","689","CA-2016-168032"
"2061.01","13","3","1487.04","270.72","687","CA-2014-166954"
"2060.744","7","1","2060.744","2060.744","2061","CA-2014-169726"
"2059.85","13","2","1979.89","79.96","1030","CA-2017-123372"
"2056.006","20","3","885.528","368.91","685","CA-2016-133935"
"2049.816","18","4","1199.976","76.12","512","CA-2014-131450"
"2049.534","10","4","1458.65","26.64","512","CA-2017-141733"
"2048.856","9","2","1348.704","700.152","1024","CA-2015-113404"
"2046.354","5","2","1799.97","246.384","1023","US-2014-135972"
"2031.392","11","2","2022.272","9.12","1016","CA-2017-111738"
"2027.188","12","3","1554.936","127.88","676","CA-2016-125087"
"2027.144","7","2","1983.968","43.176","1014","CA-2014-134313"
"2026.78","17","2","1871.88","154.9","1013","CA-2015-125976"
"2017.532","26","6","892.35","4.16","336","CA-2015-121188"
"2017.32","13","3","1779.9","17.52","672","US-2017-118941"
"2012.302","8","2","1649.95","362.352","1006","US-2017-167318"
"2011.9","10","2","1640.7","371.2","1006","CA-2017-107517"
"2007.9048","26","5","956.6648","3.564","402","US-2016-131611"
"2003.52","6","1","2003.52","2003.52","2004","CA-2016-155530"
"2003.12","9","2","1999.96","3.16","1002","CA-2014-163748"
"1999.96","4","1","1999.96","1999.96","2000","CA-2016-157791"
"1993.772","30","6","1702.12","7.42","332","CA-2017-123491"
"1986.52","11","3","1526.56","90.99","662","CA-2017-155880"
"1979.928","9","1","1979.928","1979.928","1980","CA-2016-133725"
"1979.89","21","3","1819.86","7.27","660","CA-2014-120768"
"1971.46","12","3","1323.9","106.32","657","CA-2015-110863"
"1966.557","16","4","1552.831","36.51","492","CA-2015-111514"
"1958.544","9","2","1924.16","34.384","979","CA-2017-167752"
"1952.808","13","3","1931.04","9.96","651","CA-2015-114069"
"1949.31","6","2","1652.94","296.37","975","CA-2016-142335"
"1941.81","8","2","1265.85","675.96","971","CA-2015-157084"
"1937.924","43","11","892.136","5.872","176","CA-2016-165330"
"1919.976","3","1","1919.976","1919.976","1920","CA-2017-136308"
"1918.79","12","3","1056.86","59.97","640","CA-2015-102582"
"1915.624","36","7","906.68","36.624","274","US-2017-112347"
"1910.7","8","2","1640.7","270","955","CA-2015-160171"
"1897.92","9","2","1325.76","572.16","949","CA-2014-154893"
"1893.786","9","2","1875.258","18.528","947","CA-2017-159100"
"1891.316","17","4","911.984","134.01","473","CA-2014-126760"
"1889.99","5","1","1889.99","1889.99","1890","US-2017-122714"
"1885.27","19","3","1628.82","79.45","628","CA-2014-151330"
"1884.144","17","3","991.2","12.96","628","CA-2015-140984"
"1883.724","8","2","1359.96","523.764","942","CA-2017-147760"
"1875.128","11","4","1023.332","39.992","469","CA-2017-144491"
"1873.606","30","7","777.21","32.4","268","CA-2015-126725"
"1872.934","17","2","1673.184","199.75","936","US-2017-105998"
"1859.40","27","6","1067.94","6.63","310","US-2014-147627"
"1854.241","31","6","1012.68","17.22","309","CA-2016-106950"
"1843.402","14","5","1199.98","17.28","369","CA-2017-151799"
"1840.043","28","4","1075.088","18.088","460","CA-2014-154599"
"1827.51","21","7","1399.98","5.76","261","US-2017-167920"
"1820.208","26","5","1471.96","19.44","364","US-2017-142188"
"1816.696","21","5","1188","23.68","363","CA-2015-146262"
"1816.36","16","5","1089.75","27.52","363","CA-2017-117324"
"1814.68","14","5","1207.84","12.53","363","US-2017-158526"
"1812.01","12","3","1202.94","29.12","604","CA-2014-124688"
"1805.88","6","1","1805.88","1805.88","1806","CA-2017-119452"
"1804.248","27","6","1091.168","7.312","301","CA-2016-126732"
"1801.632","6","1","1801.632","1801.632","1802","CA-2015-134719"
"1801.632","6","1","1801.632","1801.632","1802","US-2017-117723"
"1800.168","8","2","1591.02","209.148","900","CA-2016-105459"
"1799.97","5","1","1799.97","1799.97","1800","CA-2014-116666"
"1793.98","2","1","1793.98","1793.98","1794","CA-2016-101546"
"1793.98","2","1","1793.98","1793.98","1794","CA-2014-152268"
"1793.98","2","1","1793.98","1793.98","1794","CA-2017-141789"
"1782.17","21","4","1619.91","6.48","446","US-2015-127040"
"1782.104","21","7","1292.94","10.776","255","CA-2017-112515"
"1771.52","21","4","975.92","5.88","443","CA-2014-107818"
"1770.19","14","4","1079.85","29.95","443","CA-2017-152975"
"1769.784","14","4","1432","39.96","442","CA-2014-103310"
"1761.85","11","2","1649.95","111.9","881","CA-2016-153598"
"1757.8536","17","3","1352.3976","7.056","586","CA-2015-141243"
"1749.902","19","4","1415.76","5.8","437","CA-2017-105669"
"1745.91","18","3","1568.61","17.3","582","CA-2016-169838"
"1745.71","14","3","1406.86","15.75","582","CA-2015-147788"
"1745.399","28","7","659.168","1.928","249","CA-2015-126557"
"1745.36","8","2","1676.88","68.48","873","CA-2014-108147"
"1735.8505","13","5","620.6145","5.328","347","US-2017-100930"
"1729.416","21","5","666.344","19.44","346","CA-2014-125829"
"1729.286","14","3","1525.188","13.04","576","CA-2017-131254"
"1717.97","14","2","1618.37","99.6","859","US-2015-126214"
"1716.16","11","2","1516.2","199.96","858","CA-2015-115567"
"1704.89","11","1","1704.89","1704.89","1705","CA-2017-113418"
"1702.380","17","3","844.116","45.528","567","CA-2016-152555"
"1702.03","9","2","1439.92","262.11","851","CA-2017-145884"
"1691.608","8","2","1685.88","5.728","846","US-2016-102239"
"1687.26","12","2","1575.14","112.12","844","CA-2017-105914"
"1685.456","9","3","1487.976","91.96","562","US-2015-163279"
"1679.96","5","1","1679.96","1679.96","1680","CA-2014-131387"
"1679.749","13","3","1325.85","19.9","560","CA-2014-157147"
"1678.00","5","2","1652.94","25.06","839","US-2016-121013"
"1672.31","21","3","1564.29","8.04","557","US-2016-165505"
"1671.93","13","2","1565.88","106.05","836","US-2016-100461"
"1671.080","22","3","968.744","222.352","557","CA-2016-162390"
"1669.6","4","1","1669.6","1669.6","1670","CA-2017-148446"
"1668.988","26","5","899.136","19.9","334","CA-2015-102281"
"1665.62","2","1","1665.62","1665.62","1666","CA-2017-158729"
"1664.132","10","2","1369.764","294.368","832","CA-2015-141565"
"1661.028","8","2","1049.97","611.058","831","CA-2014-105984"
"1649.75","5","1","1649.75","1649.75","1650","CA-2016-125220"
"1645.87","17","3","1454.49","70.08","549","CA-2017-143063"
"1639.711","23","5","1228.465","3.168","328","CA-2014-140858"
"1639.496","27","7","896.99","1.234","234","CA-2014-165309"
"1636.356","32","8","563.808","7.584","205","CA-2015-167010"
"1635.018","11","2","1598.058","36.96","818","CA-2015-155600"
"1633.188","4","1","1633.188","1633.188","1633","US-2017-120390"
"1632.362","17","4","770.352","30.56","408","CA-2016-127138"
"1629.712","11","2","1626.192","3.52","815","CA-2017-118724"
"1628.610","10","3","1199.976","48.576","543","CA-2016-121370"
"1616.704","17","3","1088.792","95.984","539","CA-2016-130946"
"1614.124","17","4","909.72","8.128","404","CA-2014-150798"
"1611.01","9","2","1599.92","11.09","806","CA-2016-102162"
"1609.32","18","4","1395.54","18.9","402","CA-2014-124856"
"1604.73","9","2","1592.85","11.88","802","CA-2016-105207"
"1603.136","4","1","1603.136","1603.136","1603","CA-2016-152247"
"1603.136","4","1","1603.136","1603.136","1603","CA-2016-128594"
"1599.864","29","6","837.6","15.88","267","CA-2016-150350"
"1588.323","20","5","1272.63","23.56","318","CA-2016-109869"
"1584.866","7","3","1001.584","14.224","528","CA-2017-163006"
"1577.94","3","1","1577.94","1577.94","1578","CA-2017-103877"
"1577.94","3","1","1577.94","1577.94","1578","CA-2017-146983"
"1573.488","7","1","1573.488","1573.488","1573","CA-2014-150245"
"1568.862","12","2","1548.99","19.872","784","CA-2015-101889"
"1562.694","11","4","1349.85","14.94","391","CA-2016-165848"
"1562.086","24","6","662.84","26.88","260","CA-2016-146934"
"1559.668","15","4","1259.97","46.76","390","CA-2017-111556"
"1558.42","15","3","1268.82","5.68","519","CA-2015-156482"
"1556.694","14","3","1369.764","9.48","519","CA-2016-107783"
"1555.244","9","2","1119.984","435.26","778","CA-2015-142944"
"1549.77","15","4","1298.55","11.52","387","CA-2014-151995"
"1542.47","20","4","555.21","161.82","386","CA-2015-138009"
"1541.51","11","3","1504.52","11.07","514","CA-2017-103212"
"1537.544","11","2","1502.376","35.168","769","CA-2014-153850"
"1522.638","9","1","1522.638","1522.638","1523","CA-2015-166947"
"1520.376","24","4","1023.936","8.16","380","US-2014-119137"
"1520.150","32","7","568.728","17.12","217","US-2017-109253"
"1517.574","27","6","703.968","62.65","253","CA-2014-144666"
"1517.049","14","4","901.95","111.15","379","CA-2016-142594"
"1515.186","4","2","1497.666","17.52","758","US-2017-109316"
"1508.768","12","2","1487.04","21.728","754","CA-2014-125731"
"1508.13","11","3","1256.22","17.46","503","CA-2014-127614"
"1507.938","7","2","1499.97","7.968","754","CA-2016-114867"
"1506.02","16","7","1117.92","4.2","215","CA-2016-135776"
"1499.95","5","1","1499.95","1499.95","1500","CA-2016-139997"
"1491.616","14","2","1478.272","13.344","746","CA-2017-116680"
"1489.724","18","4","1101.48","82.95","372","CA-2016-114972"
"1488.774","19","4","755.944","0.898","372","CA-2014-103492"
"1488.424","7","1","1488.424","1488.424","1488","US-2017-134481"
"1483.528","7","2","1439.968","43.56","742","CA-2015-146675"
"1476.834","17","5","1080.096","13.194","295","CA-2014-114251"
"1476.270","10","2","1439.982","36.288","738","CA-2017-162691"
"1475.584","15","3","1421.664","8.56","492","CA-2016-131289"
"1475.054","28","5","899.136","38.388","295","US-2017-155425"
"1467.134","33","7","720.76","5.184","210","CA-2016-158694"
"1466.32","8","2","1363.96","102.36","733","CA-2016-169103"
"1465.032","23","6","650.352","15.176","244","CA-2016-163328"
"1461.172","17","6","818.376","20.34","244","US-2014-138247"
"1455.55","10","2","1287.45","168.1","728","CA-2017-162015"
"1454.9","5","1","1454.9","1454.9","1455","CA-2016-123540"
"1454.838","16","4","913.43","2.88","364","US-2015-122784"
"1452.7875","13","4","722.352","97.568","363","CA-2015-100146"
"1448.853","18","5","899.43","5.715","290","CA-2017-109085"
"1448.82","10","1","1448.82","1448.82","1449","CA-2015-162047"
"1446.84","13","2","1443.96","2.88","723","CA-2017-146535"
"1446.784","26","6","842.352","11.56","241","CA-2015-132486"
"1445.674","18","5","1087.936","23.99","289","CA-2015-159534"
"1443.72","10","2","1319.8","123.92","722","CA-2017-127397"
"1441.3","7","1","1441.3","1441.3","1441","CA-2014-132612"
"1439.976","4","1","1439.976","1439.976","1440","CA-2016-147417"
"1435.96","26","7","795.48","12.96","205","US-2017-147886"
"1433.19","11","3","1287.45","19.44","478","CA-2017-116988"
"1431.078","15","6","902.712","7.9","239","CA-2016-129868"
"1427.308","10","3","1362.9","29.24","476","CA-2016-144764"
"1424.9","5","1","1424.9","1424.9","1425","US-2016-143448"
"1423.34","14","2","1408.1","15.24","712","CA-2015-153381"
"1422.252","8","2","1141.47","280.782","711","CA-2016-158099"
"1421.664","8","1","1421.664","1421.664","1422","CA-2014-108609"
"1418.21","9","2","1399.93","18.28","709","CA-2017-143686"
"1417.35","16","3","896.99","20.12","472","CA-2014-114321"
"1416.304","18","3","727.296","22.608","472","US-2016-160528"
"1410.066","14","3","961.48","194.528","470","CA-2016-112697"
"1407.2048","22","3","772.68","11.06","469","US-2017-133200"
"1403.92","5","1","1403.92","1403.92","1404","CA-2016-146913"
"1403.92","5","1","1403.92","1403.92","1404","CA-2014-124247"
"1399.944","7","1","1399.944","1399.944","1400","CA-2016-155845"
"1396.35","9","2","1270.99","125.36","698","CA-2016-159891"
"1395.673","18","4","945.036","14.301","349","CA-2014-165764"
"1393.872","7","2","1117.92","275.952","697","CA-2014-119151"
"1388.78","11","3","1335.68","20.7","463","CA-2016-113243"
"1388.46","14","4","1088.76","60.74","347","CA-2015-104626"
"1384.924","15","3","1317.492","3.592","462","CA-2016-111213"
"1378.948","15","3","1159.056","39.992","460","CA-2017-102379"
"1376.445","16","4","1279.165","25.4","344","CA-2016-147137"
"1370.535","11","4","887.271","21.696","343","CA-2017-153045"
"1368.62","25","5","854.94","14.4","274","CA-2014-163552"
"1367.84","8","1","1367.84","1367.84","1368","CA-2014-111192"
"1366.04","10","2","1350.12","15.92","683","CA-2016-110492"
"1365.630","36","7","767.952","14.352","195","CA-2014-110786"
"1365.48","6","2","859.2","506.28","683","CA-2017-122364"
"1363.96","5","1","1363.96","1363.96","1364","CA-2016-105256"
"1363.674","13","2","1252.704","110.97","682","CA-2015-119879"
"1362.056","5","2","931.176","430.88","681","CA-2017-104640"
"1361.631","14","2","1345.485","16.146","681","CA-2015-105571"
"1358.866","18","7","959.984","15.552","194","CA-2017-157966"
"1358.484","7","2","895.92","462.564","679","US-2017-111423"
"1356.576","6","2","1352.032","4.544","678","CA-2016-138968"
"1353.5296","24","7","509.488","3.392","193","CA-2014-166863"
"1349.630","15","4","637.44","51.756","337","CA-2015-154284"
"1347.52","8","1","1347.52","1347.52","1348","CA-2017-107167"
"1347.27","9","3","1325.85","6.48","449","US-2015-114741"
"1345.418","13","3","1212.848","42.6","448","CA-2015-140410"
"1344.838","16","6","683.988","13.392","224","US-2017-169551"
"1344.420","11","3","1325.76","3.108","448","CA-2016-149279"
"1340.976","10","3","981.372","16.74","447","CA-2014-143903"
"1336.352","23","6","717.72","25.032","223","US-2015-129007"
"1332.496","2","1","1332.496","1332.496","1332","CA-2017-105851"
"1331.82","13","3","655.9","72","444","CA-2017-142034"
"1328.128","14","3","1297.368","5.584","443","CA-2016-101791"
"1326.69","9","2","1322.93","3.76","663","CA-2014-128146"
"1324.574","26","3","1115.91","79.92","442","CA-2017-108574"
"1322.750","12","4","913.43","5.432","331","CA-2017-147207"
"1322.352","3","1","1322.352","1322.352","1322","CA-2017-102750"
"1321.467","10","2","1007.979","313.488","661","CA-2016-147375"
"1319.96","4","1","1319.96","1319.96","1320","US-2016-138408"
"1311.97","15","3","1267.65","19.36","437","CA-2016-139269"
"1311.372","8","2","1242.9","68.472","656","CA-2017-111689"
"1311.03","12","4","635.96","118.99","328","CA-2016-133550"
"1310.336","6","2","1091.168","219.168","655","CA-2014-166471"
"1308.196","13","4","627.168","44.46","327","CA-2014-136399"
"1305.810","18","5","435.504","11.168","261","CA-2015-157322"
"1302.83","10","2","1266.86","35.97","651","CA-2016-162355"
"1299.99","2","1","1299.99","1299.99","1300","US-2014-115196"
"1298.896","16","5","801.6","7.656","260","US-2017-142573"
"1295.78","2","1","1295.78","1295.78","1296","CA-2017-100650"
"1295.025","17","4","1194.165","10.56","324","CA-2017-142342"
"1294.75","5","1","1294.75","1294.75","1295","US-2016-150140"
"1293.488","7","1","1293.488","1293.488","1293","CA-2016-128223"
"1293.468","4","2","843.9","449.568","647","CA-2015-113152"
"1288.848","11","4","704.9","9.42","322","CA-2015-148635"
"1288.464","12","2","1097.544","190.92","644","CA-2016-117590"
"1287.45","5","1","1287.45","1287.45","1287","CA-2016-134887"
"1287.26","20","5","646.74","5.64","257","CA-2014-162775"
"1284.80","11","2","699.98","584.82","642","CA-2016-109722"
"1283.3264","8","2","1227.9984","55.328","642","CA-2015-133585"
"1282.61","33","8","629.1","5.56","160","CA-2016-152730"
"1280.992","12","2","1113.024","167.968","640","CA-2014-106376"
"1278.158","16","4","1137.75","5.56","320","CA-2017-126067"
"1273.623","17","6","1218.735","2.52","212","CA-2014-127446"
"1273.606","9","5","644.076","5.84","255","CA-2015-112452"
"1272.704","12","3","725.344","7.44","424","US-2014-144078"
"1271.42","21","4","1025.88","9.96","318","US-2014-123183"
"1271.17","14","3","979.95","4.36","424","CA-2017-167395"
"1270.379","21","3","962.08","12.843","423","CA-2015-120621"
"1269.870","25","5","786.744","37.764","254","US-2016-141544"
"1264.14","7","3","900.08","13.08","421","CA-2016-145905"
"1263.67","21","5","1082.48","14.28","253","CA-2016-142545"
"1261.33","7","1","1261.33","1261.33","1261","CA-2014-106726"
