"Product ID","Name","Category","Total Sales","Total Quanity"
"OFF-ST-10001496","Standard Rollaway File with Lock","Office Supplies","6594.954","40"
"FUR-CH-10000015","Hon Multipurpose Stacking Arm Chairs","Furniture","6584.64","36"
"OFF-ST-10002615","Dual Level  Single-Width Filing Carts","Office Supplies","6574.544","43"
"FUR-TA-10001950","Balt Solid Wood Round Tables","Furniture","6518.754","19"
"FUR-CH-10002320","Hon Pagoda Stacking Chairs","Furniture","6483.796","22"
"FUR-CH-10004495","Global Leather and Oak Executive Chair  Black","Furniture","6410.874","26"
"TEC-CO-10004115","Sharp AL-1530CS Digital Copier","Technology","6399.872","17"
"TEC-PH-10000895","Polycom VVX 310 VoIP phone","Technology","6227.654","40"
"TEC-PH-10002584","Samsung Galaxy S4","Technology","6134.702","13"
"TEC-PH-10002624","Samsung Galaxy S4 Mini","Technology","6109.870","15"
"FUR-CH-10000309","Global Comet Stacking Arm Chair","Furniture","6084.144","17"
"FUR-CH-10000785","Global Ergonomic Managers Chair","Furniture","6008.536","39"
"TEC-CO-10002313","Canon PC1080F Personal Copier","Technology","5999.90","11"
"FUR-CH-10002965","Global Leather Highback Executive Chair with Pneumatic Height Adjustment  Black","Furniture","5989.204","39"
"FUR-TA-10004575","Hon 5100 Series Wood Tables","Furniture","5965.090","26"
"OFF-AP-10000275","Sanyo Counter Height Refrigerator with Crisper  3.6 Cubic Foot  Stainless Steel/Black","Office Supplies","5906.52","18"
"FUR-CH-10003746","Hon 4070 Series Pagoda Round Back Stacking Chairs","Furniture","5906.032","21"
"FUR-CH-10001394","Global Leather Executive Chair","Furniture","5861.533","21"
"FUR-TA-10004915","Office Impressions End Table  20-1/2H x 24W x 20D","Furniture","5801.816","23"
"TEC-MA-10004002","Zebra GX420t Direct Thermal/Thermal Transfer Printer","Technology","5787.355","14"
"OFF-ST-10001526","Iceberg Mobile Mega Data/Printer Cart ","Office Supplies","5751.774","49"
"FUR-CH-10000595","Safco Contoured Stacking Chairs","Furniture","5697.76","27"
"TEC-CO-10001766","Canon PC940 Copier","Technology","5669.874","15"
"FUR-TA-10004256","Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables","Furniture","5634.90","17"
"TEC-AC-10003870","Logitech Z-906 Speaker sys - home theater - 5.1-CH","Technology","5609.83","17"
"OFF-ST-10000142","Deluxe Rollaway Locking File with Drawer","Office Supplies","5572.792","14"
"OFF-BI-10004632","Ibico Hi-Tech Manual Binding System","Office Supplies","5535.593","45"
"FUR-BO-10001811","Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors","Furniture","5492.8850","26"
"FUR-CH-10002880","Global High-Back Leather Tilter  Burgundy","Furniture","5436.158","54"
"FUR-CH-10002073","Hon Olson Stacker Chairs","Furniture","5427.990","22"
"TEC-PH-10004586","Wilson SignalBoost 841262 DB PRO Amplifier Kit","Technology","5327.26","17"
"FUR-CH-10000988","Hon Olson Stacker Stools","Furniture","5294.456","44"
"TEC-PH-10004977","GE 30524EE4","Technology","5291.730","32"
"FUR-CH-10003312","Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs","Furniture","5282.424","24"
"FUR-CH-10004675","Lifetime Advantage Folding Chairs  4/Carton","Furniture","5212.112","27"
"TEC-MA-10001148","Swingline SM12-08 MicroCut Jam Free Shredder","Technology","5204.241","22"
"FUR-BO-10002613","Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors","Furniture","5184.081","27"
"TEC-AC-10001838","Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset","Technology","5119.744","26"
"FUR-TA-10001932","Chromcraft 48 x 96 Racetrack Double Pedestal Table","Furniture","5098.176","22"
"OFF-AP-10003849","Hoover Shoulder Vac Commercial Portable Vacuum","Office Supplies","5009.480","16"
"TEC-PH-10000984","Panasonic KX-TG9471B","Technology","4978.146","27"
"FUR-TA-10001539","Chromcraft Rectangular Conference Tables","Furniture","4952.673","30"
"TEC-PH-10001363","Apple iPhone 5S","Technology","4901.914","11"
"FUR-BO-10004695","OSullivan 2-Door Barrister Bookcase in Odessa Pine","Furniture","4886.460","31"
"TEC-CO-10004202","Brother DCP1000 Digital 3 in 1 Multifunction Machine","Technology","4859.838","19"
"OFF-ST-10001932","Fellowes Staxonsteel Drawer Files","Office Supplies","4829.25","26"
"OFF-ST-10002011","Smead Adjustable Mobile File Trolley with Lockable Top","Office Supplies","4778.766","12"
"FUR-CH-10000513","High-Back Leather Managers Chair","Furniture","4770.633","42"
"OFF-ST-10002743","SAFCO Boltless Steel Shelving","Office Supplies","4704.696","46"
"FUR-CH-10000847","Global Executive Mid-Back Managers Chair","Furniture","4626.582","18"
"FUR-CH-10002602","DMI Arturo Collection Mission-style Design Wood Chair","Furniture","4619.988","37"
"TEC-PH-10001494","Polycom CX600 IP Phone VoIP phone","Technology","4619.23","17"
"OFF-ST-10003306","Letter Size Cart","Office Supplies","4600.092","33"
"FUR-TA-10002903","Bevis Round Bullnose 29 High Table Top","Furniture","4544.925","24"
"OFF-ST-10001809","Fellowes Officeware Wire Shelving","Office Supplies","4509.466","55"
"OFF-ST-10000689","Fellowes Strictly Business Drawer File  Letter/Legal Size","Office Supplies","4479.03","33"
"OFF-AP-10001058","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","Office Supplies","4476.960","17"
"FUR-TA-10004154","Riverside Furniture Oval Coffee Table  Oval End Table  End Table with Drawer","Furniture","4446.175","25"
"TEC-PH-10003012","Nortel Meridian M3904 Professional Digital phone","Technology","4434.912","32"
"FUR-CH-10003981","Global Commerce Series Low-Back Swivel/Tilt Chairs","Furniture","4420.056","24"
"TEC-CO-10001571","Sharp 1540cs Digital Laser Copier","Technology","4399.920","10"
"OFF-ST-10002756","Tennsco Stur-D-Stor Boltless Shelving  5 Shelves  24 Deep  Sand","Office Supplies","4384.044","33"
"FUR-TA-10000617","Hon Practical Foundations 30 x 60 Training Table  Light Gray/Charcoal","Furniture","4334.8275","22"
"FUR-TA-10003748","Bevis 36 x 72 Conference Tables","Furniture","4332.252","40"
"OFF-BI-10003091","GBC DocuBind TL200 Manual Binding Machine","Office Supplies","4322.814","23"
"FUR-TA-10003238","Chromcraft Bull-Nose Wood 48 x 96 Rectangular Conference Tables","Furniture","4297.644","11"
"TEC-MA-10000864","Cisco 9971 IP Video Phone Charcoal","Technology","4268","16"
"TEC-PH-10004094","Motorola L703CM","Technology","4211.730","32"
"OFF-BI-10004390","GBC DocuBind 200 Manual Binding Machine","Office Supplies","4209.800","15"
"TEC-CO-10000971","Hewlett Packard 310 Color Digital Copier","Technology","4199.860","16"
"OFF-ST-10002574","SAFCO Commercial Wire Shelving  Black","Office Supplies","4199.456","35"
"FUR-CH-10004983","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","Furniture","4185.480","31"
"OFF-BI-10003656","Fellowes PB200 Plastic Comb Binding Machine","Office Supplies","4181.754","38"
"TEC-PH-10002496","Cisco SPA301","Technology","4180.532","30"
"FUR-CH-10003774","Global Wood Trimmed Managers Task Chair  Khaki","Furniture","4166.884","59"
"TEC-CO-10001943","Canon PC-428 Personal Copier","Technology","4119.794","25"
"TEC-PH-10004539","Wireless Extenders zBoost YX545 SOHO Signal Booster","Technology","4044.386","24"
"OFF-ST-10000046","Fellowes Super Stor/Drawer Files","Office Supplies","4006.44","27"
"TEC-PH-10000730","Samsung Galaxy S4 Active","Technology","3999.92","8"
"TEC-AC-10002842","WD My Passport Ultra 2TB Portable External Hard Drive","Technology","3998.4","35"
"TEC-MA-10002927","Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier","Technology","3991.98","2"
"FUR-CH-10001708","Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back","Furniture","3989.734","32"
"TEC-PH-10001578","Polycom SoundStation2 EX Conference phone","Technology","3968.51","12"
"FUR-TA-10001768","Hon Racetrack Conference Tables","Furniture","3963.901","22"
"TEC-CO-10003236","Canon Image Class D660 Copier","Technology","3959.934","7"
"FUR-CH-10000665","Global Airflow Leather Mesh Back Chair  Black","Furniture","3955.676","32"
"OFF-ST-10003816","Fellowes High-Stak Drawer Files","Office Supplies","3946.656","26"
"FUR-FU-10000576","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","Furniture","3861.056","23"
"OFF-AP-10003057","Honeywell Enviracaire Portable HEPA Air Cleaner for 16 x 20 Room","Office Supplies","3855.18","14"
"TEC-PH-10002549","Polycom SoundPoint IP 450 VoIP phone","Technology","3839.620","22"
"TEC-PH-10002834","Google Nexus 5","Technology","3815.788","23"
"FUR-TA-10004619","Hon Non-Folding Utility Tables","Furniture","3775.647","29"
"TEC-AC-10002637","Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black)","Technology","3743.792","22"
"FUR-TA-10001307","SAFCO PlanMaster Heigh-Adjustable Drafting Table Base  43w x 30d x 30-37h  Black","Furniture","3739.115","14"
"TEC-PH-10003645","Aastra 57i VoIP phone","Technology","3684.708","26"
"FUR-CH-10003298","Office Star - Contemporary Task Swivel chair with Loop Arms  Charcoal","Furniture","3680.538","35"
"TEC-PH-10002415","Polycom VoiceStation 500 Conference phone","Technology","3657.38","15"
"FUR-CH-10002647","Situations Contoured Folding Chairs  4/Set","Furniture","3641.274","64"
"FUR-BO-10004218","Bush Heritage Pine Collection 5-Shelf Bookcase  Albany Pine Finish  *Special Order","Furniture","3626.0056","34"
"TEC-PH-10004447","Toshiba IPT2010-SD IP Telephone","Technology","3613.740","31"
"FUR-TA-10001771","Bush Cubix Conference Tables  Fully Assembled","Furniture","3603.288","19"
"TEC-PH-10001557","Pyle PMP37LED","Technology","3590.026","43"
"FUR-TA-10003392","Global Adaptabilities Conference Tables","Furniture","3540.348","14"
"OFF-ST-10003805","24 Capacity Maxi Data Binder Racks  Pearl","Office Supplies","3537.24","19"
"FUR-CH-10000155","Global Comet Stacking Armless Chair","Furniture","3528.79","14"
"OFF-AP-10000828","Avanti 4.4 Cu. Ft. Refrigerator","Office Supplies","3511.012","24"
"FUR-TA-10002645","Hon Rectangular Conference Tables","Furniture","3481.515","20"
"FUR-TA-10002530","Iceberg OfficeWorks 42 Round Tables","Furniture","3457.442","30"
"FUR-BO-10003404","Global Adaptabilites Bookcase  Cherry/Storm Gray Finish","Furniture","3447.84","8"
"FUR-BO-10003272","OSullivan Living Dimensions 5-Shelf Bookcases","Furniture","3420.7704","21"
"TEC-PH-10003505","Geemarc AmpliPOWER60","Technology","3415.04","46"
"TEC-MA-10003673","Hewlett-Packard Desktjet 6988DT Refurbished Printer","Technology","3404.5","5"
"FUR-TA-10001705","Bush Advantage Collection Round Conference Table","Furniture","3401.60","19"
"OFF-ST-10000025","Fellowes Stor/Drawer Steel Plus Storage Drawers","Office Supplies","3397.308","37"
"FUR-TA-10000688","Chromcraft Bull-Nose Wood Round Conference Table Top  Wood Base","Furniture","3354.890","18"
"OFF-LA-10003930","Dot Matrix Printer Tape Reel Labels  White  5000/Box","Office Supplies","3322.878","36"
"FUR-BO-10004015","Bush Andora Bookcase  Maple/Graphite Gray Finish","Furniture","3317.7235","34"
"FUR-FU-10001468","Tenex Antistatic Computer Chair Mats","Furniture","3317.012","25"
"FUR-TA-10004534","Bevis 44 x 96 Conference Tables","Furniture","3253.22","20"
"OFF-BI-10004318","Ibico EB-19 Dual Function Manual Binding System","Office Supplies","3234.913","23"
"OFF-BI-10004584","GBC ProClick 150 Presentation Binding System","Office Supplies","3222.996","22"
"TEC-MA-10001972","Okidata C331dn Printer","Technology","3210.8","12"
"OFF-ST-10001097","Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers","Office Supplies","3178.13","20"
"TEC-PH-10002310","Panasonic KX T7731-B Digital phone","Technology","3168.606","22"
"TEC-PH-10002103","Jabra SPEAK 410","Technology","3158.064","37"
"FUR-CH-10004218","Global Fabric Managers Chair  Dark Gray","Furniture","3150.576","35"
"FUR-TA-10003715","Hon 2111 Invitation Series Corner Table","Furniture","3140.550","18"
"OFF-ST-10000585","Economy Rollaway Files","Office Supplies","3138.80","20"
"TEC-PH-10003691","BlackBerry Q10","Technology","3099.354","27"
"TEC-PH-10003072","Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System","Technology","3059.796","25"
"OFF-AP-10003590","Hoover WindTunnel Plus Canister Vacuum","Office Supplies","3051.30","9"
"TEC-PH-10001336","Digium D40 VoIP phone","Technology","3044.164","27"
"TEC-MA-10000010","Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer","Technology","3040","8"
"OFF-AP-10002684","Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","Office Supplies","3039.500","31"
"OFF-ST-10000991","Space Solutions HD Industrial Steel Shelving.","Office Supplies","3035.208","27"
"OFF-ST-10000736","Carina Double Wide Media Storage Towers in Natural & Black","Office Supplies","3028.652","39"
"OFF-SU-10000157","Compact Automatic Electric Letter Opener","Office Supplies","2982.750","26"
"FUR-TA-10001086","SAFCO PlanMaster Boards  60w x 37-1/2d  White Melamine","Furniture","2979.004","26"
"FUR-BO-10001337","OSullivan Living Dimensions 2-Shelf Bookcases","Furniture","2970.059","28"
"FUR-CH-10004853","Global Managers Adjustable Task Chair  Storm","Furniture","2959.208","23"
"OFF-BI-10004519","GBC DocuBind P100 Manual Binding Machine","Office Supplies","2954.444","27"
"FUR-BO-10000780","OSullivan Plantations 2-Door Library in Landvery Oak","Furniture","2946.3668","22"
"OFF-AP-10002534","3.6 Cubic Foot Counter Height Office Refrigerator","Office Supplies","2946.200","18"
"FUR-CH-10000863","Novimex Swivel Fabric Task Chair","Furniture","2913.914","25"
"TEC-PH-10002922","ShoreTel ShorePhone IP 230 VoIP phone","Technology","2906.628","21"
"FUR-BO-10004357","OSullivan Living Dimensions 3-Shelf Bookcases","Furniture","2904.161","17"
"OFF-AP-10002518","Kensington 7 Outlet MasterPiece Power Center","Office Supplies","2883.276","21"
"TEC-AC-10002001","Logitech Wireless Gaming Headset G930","Technology","2879.820","21"
"TEC-PH-10001760","Bose SoundLink Bluetooth Speaker","Technology","2865.6","18"
"FUR-FU-10003664","Electrix Architects Clamp-On Swing Arm Lamp  Black","Furniture","2863.80","33"
"FUR-TA-10003008","Lesro Round Back Collection Coffee Table  End Table","Furniture","2847.780","20"
"OFF-SU-10000646","Premier Automatic Letter Opener","Office Supplies","2836.366","14"
"TEC-AC-10001908","Logitech Wireless Headset h800","Technology","2799.720","32"
"OFF-PA-10000994","Xerox 1915","Office Supplies","2789.01","28"
"FUR-TA-10001039","KI Adjustable-Height Table","Furniture","2764.257","47"
"FUR-FU-10004306","Electrix Halogen Magnifier Lamp","Furniture","2759.06","17"
"TEC-AC-10004666","Maxell iVDR EX 500GB Cartridge","Technology","2755.40","10"
"TEC-PH-10000441","VTech DS6151","Technology","2746.582","25"
"TEC-PH-10002555","Nortel Meridian M5316 Digital phone","Technology","2744.87","13"
"FUR-BO-10001972","OSullivan 4-Shelf Bookcase in Odessa Pine","Furniture","2740.197","37"
"OFF-ST-10001128","Carina Mini System Audio Rack  Model AR050B","Office Supplies","2730.108","26"
"OFF-AP-10002118","1.7 Cubic Foot Compact Cube Office Refrigerators","Office Supplies","2706.080","14"
"FUR-CH-10002084","Hon Mobius Operators Chair","Furniture","2705.780","23"
"FUR-FU-10002937","GE 48 Fluorescent Tube  Cool White Energy Saver  34 Watts  30/Box","Furniture","2699.056","29"
"FUR-TA-10002041","Bevis Round Conference Table Top  X-Base","Furniture","2671.421","20"
"TEC-AC-10002253","Imation Bio 8GB USB Flash Drive Imation Corp","Technology","2659.84","16"
"FUR-CH-10000422","Global Highback Leather Tilter in Burgundy","Furniture","2647.809","34"
"TEC-PH-10004667","Cisco 8x8 Inc. 6753i IP Business Phone System","Technology","2645.804","26"
"OFF-SU-10003505","Premier Electric Letter Opener","Office Supplies","2641.608","24"
"TEC-PH-10000526","Vtech CS6719","Technology","2630.126","32"
"TEC-AC-10003911","NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router","Technology","2623.836","18"
"TEC-AC-10004171","Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset","Technology","2619.738","29"
"OFF-ST-10000060","Fellowes Bankers Box Staxonsteel Drawer File/Stacking System","Office Supplies","2612.196","43"
"TEC-PH-10001128","Motorola Droid Maxx","Technology","2609.826","21"
"FUR-CH-10002126","Hon Deluxe Fabric Upholstered Stacking Chairs","Furniture","2586.188","15"
"OFF-ST-10004186","Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D","Office Supplies","2552.54","23"
"FUR-TA-10002356","Bevis Boat-Shaped Conference Table","Furniture","2542.467","15"
"TEC-MA-10002428","Fellowes Powershred HS-440 4-Sheet High Security Shredder","Technology","2541.836","17"
"TEC-MA-10003353","Xerox WorkCentre 6505DN Laser Multifunction Printer","Technology","2519.958","7"
"OFF-ST-10004123","Safco Industrial Wire Shelving System","Office Supplies","2511.048","30"
"OFF-AP-10000891","Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","Office Supplies","2491.280","21"
"OFF-AP-10004487","Kensington 4 Outlet MasterPiece Compact Power Control Center","Office Supplies","2488.392","36"
"FUR-BO-10002916","Rush Hierlooms Collection 1 Thick Stackable Bookcases","Furniture","2487.759","15"
"OFF-ST-10001370","Sensible Storage WireTech Storage Systems","Office Supplies","2484.300","38"
"TEC-PH-10001944","Wi-Ex zBoost YX540 Cellular Phone Signal Booster","Technology","2481.15","19"
"TEC-AC-10003198","Enermax Acrylux Wireless Keyboard","Technology","2450.16","29"
"FUR-CH-10001146","Global Value Mid-Back Managers Chair  Gray","Furniture","2442.024","51"
"TEC-MA-10000112","Panasonic KX MB2061 Multifunction Printer","Technology","2396.4","10"
"FUR-CH-10004289","Global Super Steno Chair","Furniture","2389.902","30"
"FUR-CH-10001270","Harbour Creations Steel Folding Chair","Furniture","2389.125","34"
"TEC-AC-10000844","Logitech Gaming G510s - Keyboard","Technology","2362.722","31"
"TEC-MA-10002073","3D Systems Cube Printer  2nd Generation  White","Technology","2339.982","3"
"TEC-AC-10004571","Logitech G700s Rechargeable Gaming Mouse","Technology","2339.766","25"
"TEC-MA-10004679","StarTech.com 10/100 VDSL2 Ethernet Extender Kit","Technology","2330.65","13"
"OFF-ST-10004340","Fellowes Mobile File Cart  Black","Office Supplies","2300.660","40"
"OFF-ST-10001522","Gould Plastics 18-Pocket Panel Bin  34w x 5-1/4d x 20-1/2h","Office Supplies","2299.750","28"
"FUR-TA-10001520","Lesro Sheffield Collection Coffee Table  End Table  Center Table  Corner Table","Furniture","2298.114","39"
"FUR-TA-10002855","Bevis Round Conference Table Top & Single Column Base","Furniture","2297.538","19"
"TEC-PH-10002114","Xiaomi Mi3","Technology","2279.96","4"
"FUR-FU-10001488","Tenex 46 x 60 Computer Anti-Static Chairmat  Rectangular Shaped","Furniture","2267.972","25"
"OFF-BI-10001718","GBC DocuBind P50 Personal Binding Machine","Office Supplies","2264.892","50"
"TEC-PH-10003580","Cisco IP Phone 7961G-GE VoIP phone","Technology","2252.432","15"
"TEC-AC-10003174","Plantronics S12 Corded Telephone Headset System","Technology","2242.032","23"
"FUR-TA-10002533","BPI Conference Tables","Furniture","2241.8675","26"
"TEC-PH-10000486","Plantronics HL10 Handset Lifter","Technology","2227.008","24"
"TEC-PH-10002033","Konftel 250 Conference phone Charcoal black","Technology","2221.596","9"
"OFF-AP-10000938","Avanti 1.7 Cu. Ft. Refrigerator","Office Supplies","2221.560","24"
"FUR-CH-10000749","Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms","Furniture","2207.956","13"
"FUR-CH-10003817","Global Value Steno Chair  Gray","Furniture","2204.862","43"
"FUR-CH-10001482","Office Star - Mesh Screen back chair with Vinyl seat","Furniture","2200.464","20"
"FUR-FU-10004665","3M Polarizing Task Lamp with Clamp Arm  Light Gray","Furniture","2191.68","16"
"FUR-CH-10004477","Global Push Button Managers Chair  Indigo","Furniture","2185.951","44"
"OFF-PA-10001970","Xerox 1881","Office Supplies","2167.348","70"
"TEC-PH-10003811","Jabra Supreme Plus Driver Edition Headset","Technology","2159.820","22"
"TEC-AC-10002402","Razer Kraken PRO Over Ear PC and Music Headset","Technology","2159.730","30"
"TEC-AC-10003095","Logitech G35 7.1-Channel Surround Sound Headset","Technology","2157.834","17"
"TEC-PH-10002680","Samsung Galaxy Note 3","Technology","2155.902","13"
"FUR-BO-10000362","Sauder Inglewood Library Bookcases","Furniture","2154.348","14"
"OFF-PA-10000357","White Dual Perf Computer Printout Paper  2700 Sheets  1 Part  Heavyweight  20 lbs.  14 7/8 x 11","Office Supplies","2141.634","48"
"FUR-TA-10002607","KI Conference Tables","Furniture","2140.878","44"
"TEC-PH-10002275","Mitel 5320 IP Phone VoIP phone","Technology","2116.688","14"
"TEC-AC-10000990","Imation Bio 2GB USB Flash Drive Imation Corp","Technology","2098.88","16"
"FUR-TA-10002774","Laminate Occasional Tables","Furniture","2096.168","18"
"OFF-BI-10002026","Avery Arch Ring Binders","Office Supplies","2068.822","64"
"FUR-FU-10002298","Rubbermaid ClusterMat Chairmats  Mat Size- 66 x 60  Lip 20 x 11 -90 Degree Angle","Furniture","2064.228","24"
