"ID","Priority","Sale"
"CA-2016-109869","Normal","1588.323"
"CA-2017-163006","Normal","1584.866"
"CA-2017-103877","Normal","1577.94"
"CA-2017-146983","Normal","1577.94"
"CA-2014-150245","Normal","1573.488"
"CA-2015-101889","Normal","1568.862"
"CA-2016-165848","Normal","1562.694"
"CA-2016-146934","Normal","1562.086"
"CA-2017-111556","Normal","1559.668"
"CA-2015-156482","Normal","1558.42"
"CA-2016-107783","Normal","1556.694"
"CA-2015-142944","Normal","1555.244"
"CA-2014-151995","Normal","1549.77"
"CA-2015-138009","Normal","1542.47"
"CA-2017-103212","Normal","1541.51"
"CA-2014-153850","Normal","1537.544"
"CA-2015-166947","Normal","1522.638"
"US-2014-119137","Normal","1520.376"
"US-2017-109253","Normal","1520.150"
"CA-2014-144666","Normal","1517.574"
"CA-2016-142594","Normal","1517.049"
"US-2017-109316","Normal","1515.186"
"CA-2014-125731","Normal","1508.768"
"CA-2014-127614","Normal","1508.13"
"CA-2016-114867","Normal","1507.938"
"CA-2016-135776","Normal","1506.02"
"CA-2016-139997","Normal","1499.95"
"CA-2017-116680","Normal","1491.616"
"CA-2016-114972","Normal","1489.724"
"CA-2014-103492","Normal","1488.774"
"US-2017-134481","Normal","1488.424"
"CA-2015-146675","Normal","1483.528"
"CA-2014-114251","Normal","1476.834"
"CA-2017-162691","Normal","1476.270"
"CA-2016-131289","Normal","1475.584"
"US-2017-155425","Normal","1475.054"
"CA-2016-158694","Normal","1467.134"
"CA-2016-169103","Normal","1466.32"
"CA-2016-163328","Normal","1465.032"
"US-2014-138247","Normal","1461.172"
"CA-2017-162015","Normal","1455.55"
"CA-2016-123540","Normal","1454.9"
"US-2015-122784","Normal","1454.838"
"CA-2015-100146","Normal","1452.7875"
"CA-2017-109085","Normal","1448.853"
"CA-2015-162047","Normal","1448.82"
"CA-2017-146535","Normal","1446.84"
"CA-2015-132486","Normal","1446.784"
"CA-2015-159534","Normal","1445.674"
"CA-2017-127397","Normal","1443.72"
"CA-2014-132612","Normal","1441.3"
"CA-2016-147417","Normal","1439.976"
"US-2017-147886","Normal","1435.96"
"CA-2017-116988","Normal","1433.19"
"CA-2016-129868","Normal","1431.078"
"CA-2016-144764","Normal","1427.308"
"US-2016-143448","Normal","1424.9"
"CA-2015-153381","Normal","1423.34"
"CA-2016-158099","Normal","1422.252"
"CA-2014-108609","Normal","1421.664"
"CA-2017-143686","Normal","1418.21"
"CA-2014-114321","Normal","1417.35"
"US-2016-160528","Normal","1416.304"
"CA-2016-112697","Normal","1410.066"
"US-2017-133200","Normal","1407.2048"
"CA-2016-146913","Normal","1403.92"
"CA-2014-124247","Normal","1403.92"
"CA-2016-155845","Normal","1399.944"
"CA-2016-159891","Normal","1396.35"
"CA-2014-165764","Normal","1395.673"
"CA-2014-119151","Normal","1393.872"
"CA-2016-113243","Normal","1388.78"
"CA-2015-104626","Normal","1388.46"
"CA-2016-111213","Normal","1384.924"
"CA-2017-102379","Normal","1378.948"
"CA-2016-147137","Normal","1376.445"
"CA-2017-153045","Normal","1370.535"
"CA-2014-163552","Normal","1368.62"
"CA-2014-111192","Normal","1367.84"
"CA-2016-110492","Normal","1366.04"
"CA-2014-110786","Normal","1365.630"
"CA-2017-122364","Normal","1365.48"
"CA-2016-105256","Normal","1363.96"
"CA-2015-119879","Normal","1363.674"
"CA-2017-104640","Normal","1362.056"
"CA-2015-105571","Normal","1361.631"
"CA-2017-157966","Normal","1358.866"
"US-2017-111423","Normal","1358.484"
"CA-2016-138968","Normal","1356.576"
"CA-2014-166863","Normal","1353.5296"
"CA-2015-154284","Normal","1349.630"
"CA-2017-107167","Normal","1347.52"
"US-2015-114741","Normal","1347.27"
"CA-2015-140410","Normal","1345.418"
"US-2017-169551","Normal","1344.838"
"CA-2016-149279","Normal","1344.420"
"CA-2014-143903","Normal","1340.976"
"US-2015-129007","Normal","1336.352"
"CA-2017-105851","Normal","1332.496"
"CA-2017-142034","Normal","1331.82"
"CA-2016-101791","Normal","1328.128"
"CA-2014-128146","Normal","1326.69"
"CA-2017-108574","Normal","1324.574"
"CA-2017-147207","Normal","1322.750"
"CA-2017-102750","Normal","1322.352"
"CA-2016-147375","Normal","1321.467"
"US-2016-138408","Normal","1319.96"
"CA-2016-139269","Normal","1311.97"
"CA-2017-111689","Normal","1311.372"
"CA-2016-133550","Normal","1311.03"
"CA-2014-166471","Normal","1310.336"
"CA-2014-136399","Normal","1308.196"
"CA-2015-157322","Normal","1305.810"
"CA-2016-162355","Normal","1302.83"
"US-2014-115196","Normal","1299.99"
"US-2017-142573","Normal","1298.896"
"CA-2017-100650","Normal","1295.78"
"CA-2017-142342","Normal","1295.025"
"US-2016-150140","Normal","1294.75"
"CA-2016-128223","Normal","1293.488"
"CA-2015-113152","Normal","1293.468"
"CA-2015-148635","Normal","1288.848"
"CA-2016-117590","Normal","1288.464"
"CA-2016-134887","Normal","1287.45"
"CA-2014-162775","Normal","1287.26"
"CA-2016-109722","Normal","1284.80"
"CA-2015-133585","Normal","1283.3264"
"CA-2016-152730","Normal","1282.61"
"CA-2014-106376","Normal","1280.992"
"CA-2017-126067","Normal","1278.158"
"CA-2014-127446","Normal","1273.623"
"CA-2015-112452","Normal","1273.606"
"US-2014-144078","Normal","1272.704"
"US-2014-123183","Normal","1271.42"
"CA-2017-167395","Normal","1271.17"
"CA-2015-120621","Normal","1270.379"
"US-2016-141544","Normal","1269.870"
"CA-2016-145905","Normal","1264.14"
"CA-2016-142545","Normal","1263.67"
"CA-2014-106726","Normal","1261.33"
"CA-2016-162187","Normal","1252.636"
"CA-2014-101931","Normal","1252.602"
"CA-2017-128265","Normal","1247.64"
"CA-2017-122693","Normal","1245.86"
"US-2015-139675","Normal","1242.896"
"CA-2017-110443","Normal","1242.632"
"CA-2017-150266","Normal","1240.418"
"CA-2017-127026","Normal","1239.833"
"CA-2015-160472","Normal","1238.33"
"US-2015-138121","Normal","1233.61"
"CA-2017-105214","Normal","1231.50"
"CA-2015-111780","Normal","1230.50"
"CA-2015-117415","Normal","1228.9532"
"CA-2014-164315","Normal","1220.67"
"CA-2016-163573","Normal","1219.96"
"CA-2017-123085","Normal","1219.792"
"CA-2015-153423","Normal","1217.568"
"US-2014-117968","Normal","1217.38"
"US-2014-118997","Normal","1215.92"
"US-2016-155768","Normal","1215.72"
"CA-2015-150714","Normal","1215.269"
"CA-2014-141796","Normal","1214.85"
"CA-2014-139192","Normal","1213.494"
"CA-2014-152100","Normal","1212.96"
"CA-2016-113607","Normal","1203.89"
"CA-2015-166219","Normal","1203.441"
"CA-2016-110499","Normal","1199.976"
"CA-2014-111871","Normal","1198.33"
"US-2017-166688","Normal","1196.316"
"CA-2014-121006","Normal","1194.87"
"US-2014-137869","Normal","1190.84"
"CA-2014-134572","Normal","1190.53"
"CA-2016-152289","Normal","1184.700"
"CA-2016-110975","Normal","1179.822"
"CA-2016-155516","Normal","1179.27"
"CA-2014-116932","Normal","1173.616"
"CA-2015-103835","Normal","1173.03"
"CA-2017-152933","Normal","1171.792"
"CA-2015-130974","Normal","1170.918"
"CA-2015-146486","Normal","1170.72"
"CA-2017-130841","Normal","1170.564"
"CA-2017-125451","Normal","1169.980"
"CA-2017-121839","Normal","1169.694"
"US-2016-169040","Normal","1169.454"
"CA-2014-163419","Normal","1167.296"
"US-2016-167339","Normal","1167.056"
"CA-2015-153549","Normal","1166.92"
"CA-2014-146283","Normal","1166.716"
"US-2016-150861","Normal","1165.328"
"CA-2016-123946","Normal","1159.06"
"US-2017-163790","Normal","1158.882"
"CA-2014-159520","Normal","1158.448"
"CA-2017-158561","Normal","1158.12"
"CA-2016-114601","Normal","1157.98"
"CA-2016-134803","Normal","1157.68"
"US-2017-162670","Normal","1152.87"
"CA-2016-116911","Normal","1148.806"
"CA-2014-104563","Normal","1143.822"
"CA-2015-165624","Normal","1142.43"
"CA-2014-130428","Normal","1142.165"
"US-2014-125521","Normal","1139.92"
"US-2016-111290","Normal","1137.40"
"CA-2015-136469","Normal","1136.896"
"CA-2014-117464","Normal","1136.092"
"CA-2015-132626","Normal","1133.82"
"CA-2015-117800","Normal","1132.84"
"CA-2017-130036","Normal","1132.560"
"CA-2016-109344","Normal","1127.976"
"CA-2015-110016","Normal","1126.83"
"CA-2017-160633","Normal","1126.294"
"CA-2014-168984","Normal","1122.968"
"CA-2016-136406","Normal","1121.568"
"CA-2016-157280","Normal","1120.73"
"CA-2016-142958","Normal","1120.368"
"CA-2016-148852","Normal","1119.148"
"CA-2016-136812","Normal","1117.92"
"CA-2015-165162","Normal","1117.92"
"US-2015-161991","Normal","1116.48"
"CA-2017-100097","Normal","1115.25"
"CA-2016-132304","Normal","1115.17"
"CA-2015-123141","Normal","1114.192"
"CA-2017-140872","Normal","1111.698"
"CA-2016-153178","Normal","1111.418"
"CA-2014-138128","Normal","1110.648"
"CA-2016-163776","Normal","1110.50"
"CA-2016-106530","Normal","1110.344"
"CA-2015-158491","Normal","1109.95"
"CA-2014-124478","Normal","1109.725"
"CA-2014-163468","Normal","1109.372"
"CA-2017-122035","Normal","1107.68"
"CA-2014-103100","Normal","1107.66"
"CA-2016-162236","Normal","1106.924"
"CA-2014-154963","Normal","1106.770"
"CA-2015-126697","Normal","1102.472"
"CA-2017-138149","Normal","1100.62"
"CA-2015-154956","Normal","1099.96"
"CA-2017-150420","Normal","1099.5"
"US-2015-116981","Normal","1098.53"
"CA-2017-102407","Normal","1096.488"
"CA-2016-112123","Normal","1094.25"
"CA-2016-158001","Normal","1091.44"
"CA-2014-166086","Normal","1091.35"
"CA-2017-150910","Normal","1090.348"
"CA-2016-160108","Normal","1085.87"
"CA-2016-155978","Normal","1085.688"
"CA-2017-164112","Normal","1085.42"
"CA-2016-144218","Normal","1085.42"
"CA-2015-127509","Normal","1085.16"
"CA-2017-162789","Normal","1083.07"
"CA-2015-132465","Normal","1082.15"
"CA-2017-121888","Normal","1081.69"
"US-2017-165456","Normal","1079.316"
"CA-2017-161774","Normal","1078.438"
"CA-2017-151981","Normal","1077.47"
"CA-2014-140662","Normal","1075.37"
"CA-2017-117702","Normal","1071.74"
"US-2017-117534","Normal","1069.132"
"US-2017-128951","Normal","1065.84"
"US-2017-106145","Normal","1065.216"
"CA-2016-115917","Normal","1064.624"
"US-2015-168704","Normal","1061.328"
"US-2016-125402","Normal","1059.088"
"CA-2016-124352","Normal","1058.27"
"CA-2015-112130","Normal","1058.188"
"CA-2017-108560","Normal","1058.108"
"CA-2017-152310","Normal","1057.168"
"CA-2016-102092","Normal","1056.86"
"CA-2015-109638","Normal","1055.142"
"CA-2016-146633","Normal","1054.928"
"CA-2017-131828","Normal","1051.912"
"CA-2014-112158","Normal","1050.60"
"CA-2014-143371","Normal","1049.97"
"US-2017-164056","Normal","1048.35"
"CA-2015-133242","Normal","1046.47"
"CA-2016-137743","Normal","1045.872"
"CA-2016-105816","Normal","1045.21"
"US-2017-102890","Normal","1044.63"
"CA-2015-106320","Normal","1044.63"
"CA-2014-102673","Normal","1044.440"
"CA-2015-124800","Normal","1044.075"
"CA-2016-129280","Normal","1043.041"
"CA-2014-131002","Normal","1040.19"
"CA-2015-130890","Normal","1038.84"
"CA-2017-124205","Normal","1038.26"
"US-2014-157385","Normal","1037.19"
"CA-2015-145758","Normal","1035.8"
"CA-2015-143105","Normal","1033.234"
"CA-2017-100622","Normal","1030.742"
"CA-2016-132997","Normal","1030.494"
"CA-2016-101672","Normal","1027.676"
"CA-2017-148404","Normal","1027.210"
"CA-2016-158778","Normal","1024.637"
"CA-2015-135174","Normal","1022.97"
"CA-2014-129091","Normal","1022.61"
"CA-2016-146206","Normal","1020.89"
"CA-2017-145233","Normal","1020.263"
"US-2016-103674","Normal","1018.302"
"US-2015-157154","Normal","1018.104"
"CA-2017-115882","Normal","1017.136"
"CA-2016-107328","Normal","1016.184"
"CA-2014-153913","Normal","1015.816"
"US-2016-144057","Normal","1013.792"
"CA-2015-153388","Normal","1011.696"
"CA-2015-142601","Normal","1009.13"
"CA-2014-103660","Normal","1007.944"
"CA-2014-106439","Normal","1007.936"
"CA-2017-147956","Normal","1003.62"
"CA-2016-168753","Normal","1002.70"
"US-2015-134026","Normal","1001.760"
"CA-2016-140249","Normal","1001.584"
"CA-2015-150875","Normal","1001.196"
"CA-2014-160094","Normal","1000.95"
"CA-2015-121650","Normal","1000.43"
"CA-2017-138380","Normal","1000.02"
"CA-2016-166429","Normal","999.98"
"CA-2015-156104","Normal","999.98"
"CA-2014-121629","Normal","998.85"
"CA-2016-140382","Normal","997.934"
"CA-2017-164756","Normal","997.83"
"CA-2017-121489","Normal","994.464"
"CA-2016-152156","Normal","993.90"
"CA-2014-145254","Normal","992.828"
"CA-2015-130113","Normal","991.26"
"CA-2017-121048","Normal","988.204"
"US-2017-141558","Normal","987.188"
"CA-2017-166436","Normal","983.172"
"US-2015-108966","Normal","979.9455"
"US-2017-166324","Normal","979.626"
"CA-2015-137946","Normal","979.104"
"CA-2017-105410","Normal","976.828"
"CA-2016-112669","Normal","976.512"
"CA-2015-109512","Normal","976.347"
"CA-2015-104941","Normal","976.29"
"US-2017-113992","Normal","974.988"
"CA-2015-154326","Normal","974.90"
"CA-2017-134915","Normal","972.080"
"CA-2015-166583","Normal","971.88"
"CA-2014-146969","Normal","968.30"
"CA-2016-145730","Normal","962.406"
"US-2016-164630","Normal","959.968"
"CA-2016-114104","Normal","959.55"
"US-2017-116652","Normal","959.200"
"CA-2017-112753","Normal","956.8035"
"US-2016-110170","Normal","956.6648"
"CA-2017-151750","Normal","954.902"
"CA-2017-108441","Normal","954.548"
"CA-2017-104731","Normal","951.98"
"CA-2017-147277","Normal","949.772"
"CA-2014-148383","Normal","946.764"
"CA-2015-110548","Normal","946.344"
"US-2014-155502","Normal","944.61"
"US-2016-115441","Normal","941.18"
"CA-2015-162201","Normal","937.608"
"US-2017-130953","Normal","935.74"
"CA-2014-120838","Normal","935.152"
"CA-2016-156748","Normal","933.95"
"CA-2017-132290","Normal","933.408"
"CA-2017-139199","Normal","927.44"
"CA-2014-124429","Normal","926.44"
"CA-2015-136805","Normal","925.83"
"CA-2017-128944","Normal","921.228"
"CA-2016-132829","Normal","921.024"
"CA-2015-142755","Normal","919.49"
"CA-2016-100993","Normal","918.966"
"CA-2017-143245","Normal","916.59"
"CA-2017-119578","Normal","916.14"
"CA-2017-104801","Normal","914.12"
"CA-2017-107132","Normal","913.168"
"CA-2015-120362","Normal","912.75"
"CA-2017-142622","Normal","911.820"
"CA-2016-156685","Normal","911.256"
"CA-2015-133452","Normal","910.792"
"CA-2017-154410","Normal","909.12"
"CA-2017-128853","Normal","908.82"
"CA-2014-140396","Normal","907.56"
"US-2014-141215","Normal","906.430"
"CA-2017-116519","Normal","904.9"
"US-2014-165659","Normal","904.13"
"CA-2017-161410","Normal","904.116"
"CA-2016-168893","Normal","903.77"
"CA-2016-118745","Normal","902.712"
"CA-2017-155460","Normal","901.20"
"CA-2016-150945","Normal","900.08"
"CA-2015-103933","Normal","899.91"
"CA-2016-145177","Normal","899.590"
"CA-2017-105333","Normal","899.11"
"CA-2015-108665","Normal","896.38"
"CA-2015-149342","Normal","896.31"
"CA-2017-130302","Normal","895.944"
"CA-2017-147291","Normal","895.92"
"US-2016-123750","Normal","895.060"
"CA-2015-107678","Normal","893.09"
"CA-2017-115154","Normal","892.98"
"CA-2015-161452","Normal","892.224"
"CA-2016-123358","Normal","891.962"
"CA-2014-109897","Normal","891.776"
"CA-2017-111332","Normal","891.53"
"CA-2017-127782","Normal","891.504"
"CA-2014-137274","Normal","890.841"
"US-2017-100048","Normal","889.29"
"CA-2016-161907","Normal","887.966"
"CA-2014-168130","Normal","887.103"
