"ID","Total sales"
"SD-20485","6121.114"
"QJ-19255","6108.338"
"AD-10180","6106.880"
"CB-12025","6076.139"
"GM-14695","6049.966"
"SC-20380","5992.536"
"KH-16690","5990.799"
"RM-19675","5979.096"
"KH-16510","5952.859"
"BF-11170","5907.972"
"CP-12340","5888.275"
"BD-11320","5718.521"
"CS-12505","5690.055"
"AM-10705","5664.022"
"RB-19795","5633.316"
"KM-16375","5620.186"
"AA-10315","5563.560"
"SM-20950","5563.392"
"NP-18325","5529.620"
"AC-10450","5527.846"
"MH-18115","5503.093"
"DP-13390","5480.724"
"EP-13915","5478.0608"
"YC-21895","5454.350"
"SP-20620","5440.319"
"LW-17215","5420.514"
"CP-12085","5402.254"
"TS-21205","5371.090"
"TT-21460","5364.808"
"MW-18220","5341.900"
"TP-21415","5329.0048"
"TW-21025","5278.826"
"DW-13480","5271.628"
"MW-18235","5253.876"
"HR-14830","5248.787"
"SC-20725","5226.210"
"RP-19390","5153.084"
"LR-16915","5142.892"
"MP-18175","5087.920"
"AA-10645","5086.935"
"IL-15100","5040.736"
"KL-16555","5016.488"
"LB-16795","4985.676"
"DH-13075","4932.872"
"IM-15070","4930.474"
"TT-21070","4915.602"
"KM-16720","4909.472"
"PO-19180","4893.043"
"HK-14890","4877.784"
"AJ-10780","4867.344"
"JK-15730","4867.200"
"AH-10210","4805.344"
"DK-13225","4802.394"
"RA-19915","4793.543"
"SA-20830","4767.3415"
"JK-15640","4760.434"
"BW-11110","4750.358"
"TB-21520","4737.486"
"GB-14575","4716.288"
"RB-19465","4715.466"
"ES-14080","4657.924"
"DB-13270","4655.897"
"KT-16480","4642.0884"
"SC-20050","4624.572"
"EM-14140","4588.436"
"DB-13060","4531.646"
"AR-10825","4523.336"
"AG-10900","4510.797"
"AJ-10795","4501.391"
"LC-16930","4492.946"
"SC-20770","4492.657"
"TP-21130","4454.056"
"MC-17425","4432.138"
"JK-15205","4427.142"
"KW-16435","4416.520"
"BD-11500","4411.243"
"AI-10855","4375.786"
"SC-20230","4371.958"
"EB-13840","4358.128"
"GZ-14470","4355.150"
"SR-20740","4345.886"
"ND-18370","4326.139"
"MA-17560","4299.161"
"SP-20860","4282.940"
"DK-12895","4282.176"
"RD-19480","4272.930"
"TC-21295","4266.812"
"AS-10225","4260.784"
"FH-14275","4256.272"
"CB-12535","4246.4555"
"TH-21550","4234.096"
"BE-11335","4204.676"
"JF-15565","4198.332"
"GH-14425","4172.846"
"RS-19765","4159.770"
"MY-18295","4152.696"
"PM-19135","4115.662"
"SV-20785","4105.305"
"DM-13345","4074.472"
"FP-14320","4046.746"
"SP-20920","3990.689"
"CM-12715","3984.4524"
"MP-17965","3983.642"
"SC-20305","3979.065"
"SJ-20125","3949.656"
"LF-17185","3930.509"
"PW-19240","3922.415"
"GA-14515","3919.776"
"KH-16630","3918.966"
"CC-12220","3913.418"
"DB-13555","3908.8028"
"NP-18670","3908.402"
"KC-16540","3908.262"
"FC-14335","3889.366"
"BS-11380","3887.834"
"JS-15880","3868.020"
"RA-19885","3832.314"
"AT-10735","3831.864"
"OT-18730","3818.624"
"RO-19780","3815.478"
"MC-17845","3805.714"
"MM-17920","3794.080"
"CA-11965","3789.7228"
"MG-17650","3785.276"
"MD-17350","3766.382"
"JK-15625","3760.028"
"JK-16090","3747.668"
"FM-14290","3736.198"
"SC-20260","3729.793"
"HG-15025","3690.284"
"BP-11185","3675.861"
"LP-17095","3653.399"
"CS-12400","3651.8585"
"EB-13705","3644.978"
"JP-15520","3635.594"
"SZ-20035","3625.329"
"RH-19495","3621.376"
"TB-21175","3589.296"
"GM-14440","3582.820"
"DL-13495","3539.322"
"ES-14020","3510.458"
"RW-19690","3495.646"
"AG-10675","3489.0396"
"ED-13885","3484.920"
"PW-19030","3454.916"
"SF-20200","3422.786"
"FC-14245","3418.742"
"SH-19975","3406.8395"
"SG-20080","3406.581"
"TS-21655","3368.094"
"SC-20020","3362.9636"
"VP-21760","3360.526"
"DJ-13630","3356.398"
"DV-13465","3341.587"
"SF-20965","3336.535"
"DC-12850","3336.168"
"AP-10915","3323.556"
"DK-13375","3318.486"
"KH-16330","3312.864"
"RF-19345","3309.150"
"RR-19525","3302.262"
"BD-11605","3288.471"
"BS-11665","3288.110"
"RW-19630","3279.746"
"DL-12925","3272.20"
"DK-12835","3256.480"
"AS-10090","3255.310"
"JO-15145","3254.949"
"AH-10075","3250.337"
"HG-14965","3247.642"
"LC-16960","3246.626"
"CT-11995","3241.898"
"EB-13750","3236.314"
"SR-20425","3233.481"
"LW-16990","3230.308"
"RS-19420","3221.29"
"AS-10285","3214.236"
"MP-17470","3206.132"
"CS-12355","3202.162"
"BT-11680","3196.752"
"DG-13300","3195.818"
"JL-15505","3173.874"
"GM-14680","3163.628"
"JM-15250","3159.122"
"CK-12205","3154.855"
"KB-16240","3152.615"
"MS-17770","3144.678"
"RD-19900","3133.924"
"TN-21040","3130.221"
"SN-20710","3127.9592"
"SG-20605","3124.832"
"KH-16360","3100.612"
"PG-18820","3086.907"
"EH-14125","3082.653"
"GM-14455","3078.624"
"EB-14110","3071.126"
"MG-18145","3061.543"
"TG-21310","3058.372"
"KT-16465","3057.100"
"SS-20410","3056.807"
"SL-20155","3053.012"
"AS-10045","3050.692"
"CA-12775","3041.566"
"CS-11950","3036.547"
"LS-16975","2988.674"
"MH-18025","2984.948"
"FA-14230","2984.054"
"DB-13120","2973.094"
"NS-18640","2964.823"
"TM-21010","2955.226"
"CK-12325","2945.321"
"TH-21115","2942.772"
"LT-17110","2936.252"
"BC-11125","2933.676"
"JK-16120","2932.484"
"SW-20455","2921.544"
"ML-17410","2921.500"
"RD-19585","2912.894"
"CY-12745","2900.026"
"ND-18460","2893.455"
"MT-17815","2890.139"
"BF-11020","2888.506"
"DS-13180","2881.8128"
"PV-18985","2876.046"
"IM-15055","2872.63"
"CC-12430","2870.050"
"CC-12685","2854.115"
"AW-10930","2852.968"
"EA-14035","2846.705"
"LS-16945","2845.270"
"DB-12970","2839.2272"
"JM-16195","2833.926"
"CV-12295","2830.628"
"TS-21610","2820.424"
"GH-14410","2819.467"
"BG-11035","2798.948"
"TB-21625","2797.668"
"RD-19660","2786.632"
"JC-15775","2772.055"
"PF-19165","2770.00"
"EB-13870","2767.219"
"CS-12250","2754.216"
"MM-18055","2749.881"
"KB-16585","2744.742"
"LL-16840","2741.204"
"MC-17275","2725.982"
"JL-15850","2725.256"
"ML-17395","2722.843"
"JK-15370","2709.632"
"JE-16165","2697.248"
"BT-11530","2684.492"
"BO-11350","2682.728"
"FO-14305","2678.438"
"NH-18610","2673.290"
"RB-19435","2663.086"
"EJ-14155","2656.691"
"DK-13090","2650.557"
"CA-12265","2648.2872"
"LC-17140","2633.582"
"RA-19285","2617.906"
"KN-16390","2617.272"
"SO-20335","2602.5755"
"SU-20665","2595.364"
"HA-14920","2584.158"
"AG-10270","2582.898"
"LC-16870","2580.704"
"SC-20695","2576.408"
"NS-18505","2575.863"
"BT-11305","2567.656"
"EM-13810","2567.010"
"MZ-17515","2564.906"
"BS-11755","2562.382"
"DE-13255","2550.874"
"CC-12610","2540.631"
"AC-10615","2537.686"
"CM-12160","2533.314"
"HF-14995","2533.164"
"FM-14380","2523.266"
"JB-16045","2518.115"
"JS-16030","2516.494"
"DJ-13510","2501.688"
"AH-10465","2495.3916"
"PO-18865","2493.214"
"NZ-18565","2488.310"
"MN-17935","2477.946"
"BP-11290","2475.157"
"CC-12145","2471.650"
"NC-18340","2461.404"
"FM-14215","2456.638"
"MH-17455","2456.182"
"BS-11590","2454.928"
"VM-21685","2454.866"
"GZ-14545","2454.622"
"MA-17995","2453.284"
"BP-11095","2442.044"
"MC-17590","2426.067"
"TH-21100","2422.824"
"MH-17290","2394.025"
"DF-13135","2390.534"
"XP-21865","2374.658"
"CK-12595","2372.750"
"JF-15415","2371.448"
"CV-12805","2370.3136"
"NR-18550","2367.277"
"JG-15115","2358.676"
"AG-10495","2356.855"
"CL-12700","2353.586"
"MG-17680","2350.188"
"RF-19735","2341.296"
"EM-13825","2339.598"
"DB-13210","2332.577"
"CM-12235","2305.712"
"MK-17905","2302.368"
"LH-16900","2295.332"
"KN-16705","2280.580"
"JF-15190","2279.586"
"FH-14350","2271.284"
"CC-12670","2269.7015"
"BE-11410","2261.438"
"KM-16225","2260.958"
"MC-17605","2258.192"
"JH-16180","2256.394"
"MY-17380","2254.285"
"KD-16615","2243.510"
"TS-21505","2243.274"
"JG-15310","2240.580"
"LW-16825","2238.061"
"AR-10405","2236.128"
"GG-14650","2224.000"
"NC-18415","2218.990"
"MC-18100","2218.980"
"DP-13105","2215.002"
"PF-19225","2206.128"
"MH-17785","2203.778"
"JL-15235","2203.700"
"JR-16210","2201.686"
"EN-13780","2199.366"
"TB-21280","2198.450"
"GW-14605","2189.019"
"BT-11395","2186.613"
"PS-18760","2181.479"
"SH-20395","2180.718"
"KN-16450","2171.962"
"DB-12910","2171.599"
"RP-19855","2170.716"
"TS-21160","2163.624"
"HA-14905","2163.300"
"EJ-13720","2162.174"
"NM-18520","2161.979"
"JD-15790","2152.352"
"CR-12580","2148.852"
"DN-13690","2139.79"
"KC-16255","2120.954"
"SH-20635","2096.392"
"LC-17050","2095.064"
"RH-19600","2085.740"
"TG-21640","2074.661"
"ML-17755","2071.914"
"RB-19705","2067.450"
"TS-21430","2054.140"
"AF-10870","2052.908"
"CD-11920","2033.968"
"NF-18595","2031.472"
"DJ-13420","2012.52"
"VB-21745","2005.596"
"HP-14815","1990.314"
"DB-13615","1989.050"
"PG-18895","1987.164"
"NB-18655","1972.599"
"SW-20275","1966.65"
"LD-17005","1961.934"
"CB-12415","1949.200"
"TP-21565","1936.640"
"JO-15280","1934.272"
"JF-15355","1911.844"
"ME-17725","1908.4532"
"SV-20935","1903.491"
"KD-16345","1888.964"
"GD-14590","1888.070"
"SG-20470","1884.798"
"LR-17035","1879.306"
"SC-20440","1874.998"
"BG-11695","1874.172"
"SP-20650","1872.436"
"NG-18355","1869.580"
"CD-12790","1860.732"
"SN-20560","1860.418"
"PR-18880","1840.178"
"AJ-10945","1839.240"
"PC-18745","1832.064"
"EG-13900","1832.020"
"PJ-19015","1824.234"
"NC-18625","1821.742"
"JM-15265","1804.146"
"JB-15400","1791.605"
"AA-10480","1790.512"
"CC-12100","1770.945"
"DS-13030","1762.213"
"MF-18250","1758.300"
"AH-10030","1744.700"
"LH-17155","1739.689"
"BW-11200","1738.406"
"VT-21700","1736.596"
"AH-10120","1735.514"
"MV-18190","1734.574"
"JM-15535","1733.443"
"BE-11455","1727.652"
"DB-13405","1711.692"
"JP-16135","1707.710"
"TZ-21580","1707.286"
"BP-11155","1697.861"
"DK-12985","1687.040"
"MO-17800","1687.027"
"RA-19945","1686.9225"
"KE-16420","1686.7312"
"CA-12055","1679.724"
"CM-11815","1673.888"
"JP-15460","1669.135"
"CM-12115","1661.61"
"CC-12475","1659.438"
"EB-13975","1643.255"
"AP-10720","1638.554"
"AZ-10750","1622.018"
"MS-17710","1613.402"
"TB-21250","1602.376"
"CR-12730","1600.550"
"AH-10195","1587.452"
"BF-11215","1585.162"
"CK-12760","1582.109"
"MC-18130","1581.998"
"JL-15175","1571.523"
"KB-16315","1569.464"
"GB-14530","1568.440"
"ON-18715","1567.520"
"MV-17485","1560.050"
"MB-17305","1548.702"
"BD-11620","1538.110"
"CH-12070","1537.236"
"BD-11725","1526.50"
"BV-11245","1523.273"
"KA-16525","1519.506"
"AB-10600","1515.862"
"JG-15805","1507.018"
"DL-12865","1503.112"
"ZD-21925","1493.944"
"CM-12190","1475.144"
"LE-16810","1469.450"
"TB-21055","1467.881"
"PN-18775","1467.152"
"RK-19300","1460.192"
"BN-11515","1459.344"
"DL-13315","1458.258"
"PB-19150","1456.950"
"AG-10525","1455.038"
"RM-19375","1453.474"
"PK-18910","1441.152"
"TD-20995","1434.548"
"JW-16075","1428.731"
"MB-18085","1428.231"
"TT-21220","1427.044"
"CA-12310","1421.954"
"RD-19720","1419.737"
"NL-18310","1418.090"
"JS-15595","1417.654"
"PM-18940","1405.402"
"GA-14725","1398.382"
"CR-12820","1397.8724"
"NG-18430","1395.938"
"JE-15475","1388.682"
"TB-21595","1387.559"
"FG-14260","1383.144"
"DM-13525","1376.792"
"GH-14485","1361.244"
"SB-20170","1348.020"
"LM-17065","1346.774"
"MG-17695","1342.282"
"SJ-20215","1341.036"
"BM-11785","1338.842"
"BF-11005","1333.880"
"SS-20140","1324.028"
"DM-12955","1322.034"
"MT-18070","1319.4498"
"SJ-20500","1318.776"
"MM-17260","1314.023"
"SP-20545","1306.086"
"MC-17575","1303.893"
"EK-13795","1303.478"
"Co-12640","1300.076"
"DO-13435","1300.0315"
"HR-14770","1299.288"
"GR-14560","1284.38"
"CS-11845","1278.954"
"PS-18970","1278.639"
"SV-20815","1271.090"
"DO-13645","1267.316"
"CL-11890","1262.014"
"LW-17125","1259.04"
"ME-18010","1256.944"
"GM-14500","1255.682"
"SC-20680","1254.64"
"MH-17620","1252.800"
"ER-13855","1245.788"
"TC-21475","1244.976"
"JW-15955","1244.086"
"MG-17875","1242.833"
"NP-18685","1228.698"
"PJ-18835","1220.090"
"EH-14005","1219.530"
"JL-15130","1214.956"
"CD-12280","1205.584"
"MD-17860","1204.910"
"DW-13585","1204.854"
"EB-14170","1186.326"
"BP-11230","1181.49"
"DC-13285","1174.618"
"AT-10435","1171.814"
"JR-15670","1156.658"
"DB-13660","1155.202"
"CG-12520","1148.780"
"KC-16675","1146.050"
"RD-19810","1137.616"
"CW-11905","1136.592"
"JS-15685","1131.064"
"DV-13045","1119.483"
"AB-10165","1113.838"
"TM-21490","1094.678"
"JO-15550","1090.838"
"SW-20245","1085.078"
"JF-15490","1082.918"
"DB-13360","1081.466"
"DW-13195","1080.751"
"CS-12490","1077.2285"
"PC-19000","1061.488"
"DP-13165","1058.616"
"JC-15385","1058.108"
"PO-19195","1056.858"
"AA-10375","1056.390"
"VS-21820","1055.981"
"AR-10345","1055.694"
"DP-13000","1050.636"
"DH-13675","1043.096"
"SM-20905","1043.041"
"EM-14095","1041.042"
"TC-21145","1038.26"
"MK-18160","1031.602"
"TH-21235","1022.201"
"SW-20350","1019.044"
"LS-17200","1010.256"
"RB-19330","1008.196"
"LS-17245","1008.136"
"BG-11740","1006.356"
"VP-21730","993.902"
"KB-16600","983.922"
"BP-11050","983.42"
"TS-21340","974.782"
"RD-19930","970.942"
"AB-10150","966.710"
"RC-19825","966.409"
"SS-20875","964.636"
"JH-15910","959.477"
"JF-15295","955.124"
"RP-19270","954.6452"
"BS-11800","949.43"
"RF-19840","945.222"
"EB-13930","944.600"
"MF-17665","937.039"
"EM-13960","933.704"
"AC-10420","925.800"
"EH-14185","923.884"
"MO-17500","922.487"
"AB-10255","914.532"
"KB-16405","908.821"
"CG-12040","904.468"
"SC-20575","902.728"
"JB-15925","900.552"
"HZ-14950","886.520"
"AB-10015","886.156"
"RC-19960","885.752"
"CS-12130","884.640"
"HE-14800","883.532"
"SK-19990","883.409"
"RE-19450","876.696"
"JM-15655","864.947"
"JR-15700","863.88"
"AF-10885","861.565"
"JC-16105","858.576"
"MS-17980","855.116"
"VF-21715","847.944"
"VG-21790","846.010"
"CS-12175","844.458"
"TB-21355","834.328"
"AS-10630","833.398"
"EH-13990","825.950"
"TB-21190","816.174"
"AM-10360","814.012"
"BM-11575","808.162"
"DK-13150","797.832"
"MC-17635","795.154"
"BF-11275","791.990"
"HG-14845","785.628"
"MG-17890","776.384"
"MM-18280","775.414"
"SF-20065","763.546"
"SW-20755","758.696"
"LP-17080","756.606"
"Dl-13600","755.602"
"IG-15085","744.574"
"BB-10990","744.340"
"TC-21535","742.558"
"ML-18040","742.082"
"RH-19555","740.382"
"PB-18805","740.356"
"AH-10585","738.504"
"HM-14980","736.276"
"PH-18790","729.648"
"PA-19060","729.408"
"JJ-15445","709.178"
"JD-16060","695.442"
"PB-19105","688.324"
"EH-13945","684.171"
"TR-21325","675.942"
"AG-10330","660.972"
"BK-11260","659.138"
"BD-11770","658.466"
"AC-10660","657.316"
"AW-10840","649.376"
"LO-17170","644.350"
"JB-16000","644.1188"
"CD-11980","639.766"
"MR-17545","639.178"
"AJ-10960","629.248"
"RR-19315","615.932"
"SS-20515","613.40"
"BT-11440","603.876"
"BF-10975","599.798"
"MZ-17335","593.606"
"DL-13330","585.020"
"AS-10240","584.608"
"BD-11635","582.646"
"NK-18490","572.048"
"CM-11935","565.392"
"CS-12460","550.644"
"CS-11860","537.632"
"JH-15820","528.910"
"RB-19570","528.546"
"AY-10555","497.014"
"CR-12625","475.90"
"MS-17530","475.656"
"JS-15940","469.169"
"EC-14050","461.914"
"KM-16660","453.538"
"KW-16570","449.096"
"TT-21265","439.50"
"ST-20530","433.340"
"VG-21805","427.372"
"SS-20590","418.49"
"BT-11485","415.196"
"MH-17440","400.016"
"BW-11065","385.516"
"JD-16015","385.430"
"JK-15325","383.812"
"VM-21835","380.690"
"NF-18475","377.162"
"MS-17830","370.348"
"LS-17230","368.880"
"AG-10300","367.548"
"EM-14200","366.822"
"HJ-14875","358.100"
"DW-13540","344.080"
"LT-16765","329.876"
"BD-11560","320.54"
"LH-17020","318.239"
"JH-15430","309.281"
"JM-15580","303.948"
"CM-12445","287.990"
"LH-16750","287.426"
"SC-20845","280.632"
"SC-20800","279.256"
"NB-18580","273.872"
"BF-11080","272.95"
"DD-13570","269.542"
"BN-11470","265.296"
"AR-10510","264.864"
"HD-14785","251.360"
"SM-20005","244.494"
"PL-18925","239.481"
"GP-14740","236.53"
"EM-14065","228.990"
"GT-14755","226.436"
"RB-19645","221.084"
"HH-15010","218.668"
"AG-10390","200.945"
"JJ-15760","195.00"
"AG-10765","170.584"
"ML-18265","162.232"
"AO-10810","161.28"
"PT-19090","160.572"
"DA-13450","156.760"
"MO-17950","154.288"
"GH-14665","146.9408"
"PB-19210","132.738"
"BO-11425","130.83"
"EL-13735","124.28"
"CC-12550","113.832"
"RM-19750","98.35"
"KS-16300","88.472"
"AR-10570","88.15"
"FW-14395","79.75"
"JC-15340","71.263"
"AS-10135","58.82"
"LB-16735","50.188"
"RE-19405","48.36"
"SG-20890","47.946"
"RS-19870","22.328"
"MG-18205","16.739"
"CJ-11875","16.52"
"LD-16855","5.304"
"TS-21085","4.833"
